"id","host_id","neighbourhood","property_type","room_type","accommodates","price","minimum_nights","maximum_nights","bedrooms","beds","cancellation_policy","number_of_reviews","review_scores_accuracy"
35797,153786,5,37,1,2,4500,1,7,1,1,"flexible",0,NA
56074,265650,6,15,1,3,843,4,150,1,2,"moderate",60,10
61792,299558,6,26,3,2,1359,2,21,1,1,"moderate",52,10
70644,212109,4,2,1,2,1245,6,180,1,1,"moderate",102,10
107078,540705,11,29,1,2,4868,4,365,1,1,"strict_14_with_grace_period",10,10
131610,647454,4,31,3,2,1857,1,730,1,1,"flexible",0,NA
165772,790208,11,26,1,14,1245,2,365,4,10,"strict_14_with_grace_period",266,10
171109,816295,3,2,3,2,296,4,21,1,0,"strict_14_with_grace_period",70,10
180808,36836,6,29,1,2,1218,3,365,1,1,"strict_14_with_grace_period",35,10
187030,899360,6,2,1,6,1314,3,365,2,3,"moderate",97,10
187745,899360,6,29,1,3,2151,2,365,1,2,"moderate",24,9
194937,899360,6,2,1,3,1404,5,365,1,1,"moderate",64,9
198778,970609,6,2,1,4,1087,2,365,2,4,"strict_14_with_grace_period",169,9
204887,998053,11,2,1,2,792,3,180,1,1,"moderate",26,9
217685,184410,6,2,1,2,611,7,670,1,2,"flexible",7,10
246057,1288063,6,2,1,5,1699,1,30,2,4,"flexible",247,10
247543,1297488,6,2,3,1,679,3,30,1,1,"strict_14_with_grace_period",80,10
252618,1326107,6,2,3,2,317,5,1825,1,2,"strict_14_with_grace_period",16,9
255354,855066,2,2,3,3,752,1,365,1,1,"flexible",10,10
256555,790208,11,26,1,14,1245,2,365,4,10,"strict_14_with_grace_period",264,10
261897,1373924,6,2,1,3,1398,2,1125,1,1,"moderate",352,10
271048,1417206,11,2,1,2,2015,5,365,2,1,"strict_14_with_grace_period",13,10
276504,1444589,8,2,1,2,2264,7,365,NA,1,"flexible",0,NA
281134,196253,6,33,2,3,3261,1,365,1,2,"strict_14_with_grace_period",7,9
287940,1497087,6,22,1,2,1132,1,1125,1,1,"flexible",292,10
291804,1511568,3,2,3,1,679,2,14,1,1,"flexible",0,NA
298873,1539548,6,2,1,4,2151,3,180,2,2,"moderate",120,10
312773,1608293,3,2,1,4,1585,3,180,2,3,"moderate",35,10
323030,970609,6,2,1,4,1087,2,1125,2,3,"strict_14_with_grace_period",176,10
324769,1661848,11,2,1,6,684,2,365,2,3,"flexible",35,10
325812,1666388,6,2,3,2,770,3,10,1,1,"flexible",106,10
326296,1664327,4,26,3,2,453,2,160,1,1,"flexible",188,10
326475,1670032,6,2,1,4,793,7,31,2,2,"strict_14_with_grace_period",95,10
326865,1671446,14,26,3,1,270,3,365,1,1,"strict_14_with_grace_period",30,10
326885,1671446,14,26,3,1,270,3,360,1,1,"strict_14_with_grace_period",21,10
329532,1681966,6,26,3,2,453,22,1125,1,2,"strict_14_with_grace_period",0,NA
329776,1683373,14,26,3,2,450,2,1125,1,0,"flexible",15,10
331788,1691633,6,2,1,2,1737,3,1125,1,1,"strict_14_with_grace_period",337,10
341479,1732353,3,2,1,3,521,1,1125,2,2,"flexible",0,NA
347754,1762542,4,26,3,2,906,1,1125,1,NA,"flexible",0,NA
350079,1773936,6,2,3,1,1245,5,180,1,1,"strict_14_with_grace_period",0,NA
357324,1808252,11,26,3,2,2250,1,1125,1,1,"flexible",0,NA
358441,1814320,3,2,1,4,843,3,1125,1,1,"strict_14_with_grace_period",11,10
362583,1832239,6,2,1,4,1540,2,1125,2,2,"strict_14_with_grace_period",18,10
370092,618769,6,29,1,4,634,1,20,0,2,"strict_14_with_grace_period",293,9
375032,1886913,6,4,3,16,1359,1,14,6,13,"strict_14_with_grace_period",45,9
382712,1918084,2,2,3,2,702,1,7,1,1,"flexible",0,NA
382904,1915348,3,2,4,1,1139,1,1125,1,1,"flexible",0,NA
386265,1933252,4,2,3,2,294,3,365,1,1,"moderate",9,9
394589,931849,6,2,3,1,340,90,360,1,1,"flexible",23,10
395446,899360,6,15,1,2,2332,3,1125,1,1,"moderate",12,10
397408,1964369,11,2,1,3,1087,2,30,2,3,"moderate",161,10
400047,1905087,6,15,1,2,1709,1,1125,1,1,"strict_14_with_grace_period",9,10
422159,2099653,3,29,3,2,410,3,180,1,1,"flexible",8,10
454077,2256144,6,2,3,1,566,1,1125,1,1,"flexible",2,2
454693,1601561,6,2,1,4,1359,1,1125,1,2,"strict_14_with_grace_period",221,10
456242,1767559,10,26,3,1,900,3,90,1,1,"moderate",2,10
456409,2269083,11,2,3,1,226,2,360,1,1,"strict_14_with_grace_period",44,9
456461,2269083,11,2,4,1,385,2,180,1,1,"strict_14_with_grace_period",61,10
457700,2275010,11,22,3,2,1132,3,1125,0,2,"strict_14_with_grace_period",4,10
458808,2281290,6,2,1,2,498,7,1125,1,2,"flexible",9,9
486913,2409917,6,2,1,2,589,2,600,1,2,"moderate",22,10
489774,2415111,11,2,1,6,2151,4,1125,2,3,"moderate",43,9
491412,2428947,11,2,3,1,1193,7,25,1,1,"flexible",0,NA
499553,1297488,6,2,1,7,4981,3,30,4,6,"strict_14_with_grace_period",23,10
517503,2547499,15,22,3,2,563,1,1125,1,1,"flexible",111,10
521867,2566613,1,26,3,1,563,2,7,1,1,"flexible",0,NA
527473,158585,6,2,1,4,2921,1,180,2,3,"strict_14_with_grace_period",166,10
555663,2732644,6,2,1,4,1804,2,1125,2,2,"strict_14_with_grace_period",26,10
561743,2761952,6,2,1,3,1200,1,1125,1,1,"strict_14_with_grace_period",2,10
567176,2336127,6,2,3,1,204,7,90,1,1,"moderate",24,10
571166,196253,6,33,2,3,2989,1,1125,1,1,"strict_14_with_grace_period",1,10
579534,1326107,6,2,3,2,410,5,1825,1,2,"strict_14_with_grace_period",8,9
583039,2872228,6,15,1,4,1948,2,60,2,2,"moderate",48,9
607833,1849414,7,2,3,2,450,3,365,1,1,"strict_14_with_grace_period",6,10
608312,1969996,6,26,3,2,1313,2,1125,1,1,"moderate",28,10
609012,2944126,6,2,1,2,1699,4,365,1,2,"strict_14_with_grace_period",24,10
613181,3040937,6,2,1,4,1960,3,365,2,2,"strict_14_with_grace_period",182,9
617137,3059169,6,2,4,2,2264,1,1125,1,1,"flexible",0,NA
618711,2269083,11,2,4,1,204,2,120,1,1,"strict_14_with_grace_period",60,9
628081,2991302,6,2,1,3,1948,3,200,1,1,"moderate",232,10
635324,264422,1,2,1,2,912,2,125,1,1,"flexible",149,10
640803,3200155,1,26,1,5,7427,4,21,2,2,"strict_14_with_grace_period",22,10
642797,3151538,11,2,1,8,9036,2,45,3,3,"strict_14_with_grace_period",89,10
654040,3289927,11,15,3,1,657,3,1124,1,1,"moderate",1,NA
654106,3289927,11,15,3,1,657,5,180,1,1,"moderate",1,10
655422,3299226,15,26,1,12,798,2,120,4,6,"moderate",63,9
670265,3373329,6,2,4,1,498,1,90,1,1,"flexible",0,NA
691019,3531879,6,2,1,6,1879,2,330,2,2,"strict_14_with_grace_period",246,10
696031,3531879,11,2,1,4,1177,15,330,2,2,"strict_14_with_grace_period",144,9
696037,3531879,11,2,1,6,1358,24,360,3,3,"moderate",35,10
704779,2872228,6,15,1,2,1390,2,60,1,1,"moderate",15,9
712611,3648353,6,2,1,2,1472,3,31,1,1,"moderate",169,9
717874,3701050,6,2,3,1,1585,1,1125,1,1,"flexible",0,NA
728372,3777702,6,26,1,16,3826,1,90,10,16,"strict_14_with_grace_period",99,9
729898,1288063,6,2,1,3,1449,1,30,1,2,"moderate",271,10
736107,3800330,6,2,1,4,1314,3,90,2,2,"moderate",253,9
737328,3850198,6,33,2,2,1246,3,730,1,1,"moderate",20,10
741557,3850198,6,33,1,2,1246,5,730,1,1,"moderate",6,8
741564,3881522,6,26,3,2,342,4,90,1,1,"strict_14_with_grace_period",82,9
741663,3882003,5,2,1,1,1359,360,1095,1,NA,"strict_14_with_grace_period",0,NA
757338,3991683,4,4,2,10,3600,3,8,5,0,"moderate",32,10
758602,3996052,3,2,3,1,702,1,1125,1,1,"moderate",0,NA
760912,3817743,6,2,3,2,902,1,14,1,1,"flexible",5,9
773150,4079778,4,34,1,3,1019,3,1125,2,2,"moderate",12,10
783080,1767559,10,26,3,1,684,1,90,1,1,"flexible",1,10
783480,4129056,5,26,3,4,342,2,365,2,4,"strict_14_with_grace_period",27,10
