id,host_id,neighbourhood_cleansed,property_type,room_type,accommodates,price,minimum_nights,maximum_nights,bedrooms,beds,cancellation_policy,number_of_reviews,review_scores_accuracy
35797,153786,Cuajimalpa de Morelos,Villa,Entire home/apt,2,4500,1,7,1,1,flexible,0,
56074,265650,Cuauhtemoc,Condominium,Entire home/apt,3,843,4,150,1,2,moderate,60,10
61792,299558,Cuauhtemoc,House,Private room,2,1359,2,21,1,1,moderate,52,10
70644,212109,Coyoacan,Apartment,Entire home/apt,2,1245,6,180,1,1,moderate,102,10
107078,540705,Miguel Hidalgo,Loft,Entire home/apt,2,4868,4,365,1,1,strict_14_with_grace_period,10,10
131610,647454,Coyoacan,Other,Private room,2,1857,1,730,1,1,flexible,0,
165772,790208,Miguel Hidalgo,House,Entire home/apt,14,1245,2,365,4,10,strict_14_with_grace_period,266,10
171109,816295,Benito Juarez,Apartment,Private room,2,296,4,21,1,0,strict_14_with_grace_period,70,10
180808,36836,Cuauhtemoc,Loft,Entire home/apt,2,1218,3,365,1,1,strict_14_with_grace_period,35,10
187030,899360,Cuauhtemoc,Apartment,Entire home/apt,6,1314,3,365,2,3,moderate,97,10
187745,899360,Cuauhtemoc,Loft,Entire home/apt,3,2151,2,365,1,2,moderate,24,9
194937,899360,Cuauhtemoc,Apartment,Entire home/apt,3,1404,5,365,1,1,moderate,64,9
198778,970609,Cuauhtemoc,Apartment,Entire home/apt,4,1087,2,365,2,4,strict_14_with_grace_period,169,9
204887,998053,Miguel Hidalgo,Apartment,Entire home/apt,2,792,3,180,1,1,moderate,26,9
217685,184410,Cuauhtemoc,Apartment,Entire home/apt,2,611,7,670,1,2,flexible,7,10
246057,1288063,Cuauhtemoc,Apartment,Entire home/apt,5,1699,1,30,2,4,flexible,247,10
247543,1297488,Cuauhtemoc,Apartment,Private room,1,679,3,30,1,1,strict_14_with_grace_period,80,10
252618,1326107,Cuauhtemoc,Apartment,Private room,2,317,5,1825,1,2,strict_14_with_grace_period,16,9
255354,855066,Azcapotzalco,Apartment,Private room,3,752,1,365,1,1,flexible,10,10
256555,790208,Miguel Hidalgo,House,Entire home/apt,14,1245,2,365,4,10,strict_14_with_grace_period,264,10
261897,1373924,Cuauhtemoc,Apartment,Entire home/apt,3,1398,2,1125,1,1,moderate,352,10
271048,1417206,Miguel Hidalgo,Apartment,Entire home/apt,2,2015,5,365,2,1,strict_14_with_grace_period,13,10
276504,1444589,Iztacalco,Apartment,Entire home/apt,2,2264,7,365,,1,flexible,0,
281134,196253,Cuauhtemoc,Serviced apartment,Hotel room,3,3261,1,365,1,2,strict_14_with_grace_period,7,9
287940,1497087,Cuauhtemoc,Guest suite,Entire home/apt,2,1132,1,1125,1,1,flexible,292,10
291804,1511568,Benito Juarez,Apartment,Private room,1,679,2,14,1,1,flexible,0,
