CD_A,PER,ENT,CON,V_SEL,N_HOG,N_REN,S3P1,S3P1_2,S3P2,S3P2_ES,S3P3,S3P4_1,S3P4_2,S3P4_3,S3P4_4,S3P4_5,S3P4_6,S3P4_7,S3P5,S3P5_ES,S3P6,S3P7,S3P7_1_1,S3P7_1_2,S3P7_1_3,S3P7_1_4,S3P7_1_5,S3P7_2_1,S3P7_2_2,S3P7_2_3,S3P7_2_4,S3P7_2_5,S3P8,S3P9,S3P10,S3P11_ES,S3P12_C,S3P12_ES,S3P13_ES,S3P14_C,S3P14_ES,S3P15,S4P1_1,S4P1_2,S4P1_3,S4P1_4,S4P1_5,S4P1_6,S4P1_7,S4P1_8,S4P1_1_1A,S4P1_1_2A,S4P1_1_3A,S4P1_1_4A,S4P1_1_5A,S4P1_1_6A,S4P1_1_7A,S4P1_1_8A,S4P1_1_ESA,S4P1_1_1B,S4P1_1_2B,S4P1_1_3B,S4P1_1_4B,S4P1_1_5B,S4P1_1_6B,S4P1_1_7B,S4P1_1_8B,S4P1_1_ESB,S4P1_1_1C,S4P1_1_2C,S4P1_1_3C,S4P1_1_4C,S4P1_1_5C,S4P1_1_6C,S4P1_1_7C,S4P1_1_8C,S4P1_1_ESC,S4P1_2_1,S4P1_2_2,S4P1_2_3,S4P1_2_4,S4P1_2_5,S4P1_2_6,S4P1_2_7,S4P2_1,S4P2_2,S4P2_3,S4P2_4,S4P2_5,S4P2_6,S4P2_7,S4P2_8,S4P3_1,S4P3_2,S4P3_3,S4P3_4,S4P3_5,S4P3_6,S4P3_7,S4P3_8,S4P3_9,S4P4,S4P4_1,S4P4_2,S4P4_3,S4P4_4,S4P5,S4P5_1,S4P5_2,S4P5_3,S4P5_4,S4P6,S4P6_1,S4P6_2,S4P6_3,S4P6_4,S4P6_5,S4P7,S4P7_1,S4P7_2,S4P7_3,S4P7_4,S4P7_5,S4P8,S4P8_1_1,S4P8_1_2,S4P8_1_ES,S4P9,S4P10,S4P10_1,S4P11_1,S4P11_2,S4P11_3,S4P11_4,S4P11_5,S4P11_6,S4P11_7,S4P11_8,S4P11_9,S4P11_10,S4P11_11,S4P11_12,S4P11_13,S4P11_14,S4P11_15,S4P11_16,S4P11_17,S4P11_ES,S4P12_1,S4P12_2,S4P12_3,S4P12_4,S4P12_5,S4P12_6,S4P12_7,S4P12_8,S4P12_9,S4P12_10,S4P12_1_1,S4P12_1_2,S4P12_1_3,S4P12_1_4,S4P12_1_5,S4P12_1_6,S4P12_1_7,S4P12_1_8,S4P12_1_9,S4P12_1_10,S4P12_1_ES,S4P12_2_1,S4P12_2_2,S4P12_2_3,S4P12_2_4,S4P12_2_5,S4P12_2_6,S4P12_2_7,S4P12_2_8,S4P12_2_ES,S4P13_1,S4P13_2,S4P13_3,S4P14_1,S4P14_2,S4P14_3,S4P14_4,S4P14_5,S4P14_6,S4P14_7,S4P14_8,S4P14_9,S4P14_10,S4P14_11,S4P14_12,S4P14_13,S4P14_14,S4P14_15,S4P14_16,S4P14_17,S4P15_1,S4P15_2,S4P15_3,S4P15_4,S4P15_5,S4P15_6,S4P15_7,S4P15_8,S4P15_9,S4P15_10,S4P15_11,S4P15_12,S4P15_13,S4P15_14,S4P15_15,S4P16_1,S4P16_2,S4P16_3,S4P16_4,S4P16_5,S4P16_6,S4P16_7,S4P17_1,S4P17_2,S4P17_3,S4P17_4,S4P17_5,S4P17_6,S4P17_7,S4P17_8,S4P17_9,S4P17_10,S4P17_11,S4P17_12,S4P17_13,S4P17_14,FAC
ww,1117,	01,40018,3,1,	01,3,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,"SURTIR MERCANCIA, REALIZAR INVENTARIO Y ACOMODAR",42,ENCARADO DE TIENDA DE ROPA,ROPA Y CALZADO ZONA OUTLET,46,VENTA Y COMPRA DE ROPA Y CALZADO PARA CABALLERO EN UN LOCAL,2,2,1,2,2,2,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,3,3,4,2,2,5,3,2,4,6,1,,,,5,1,,4,,,,,,,6,36,12,18,6,,,,,,,,1,2,,,1,1,12,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,,,1,3,3,3,3,3,5,7,7,10,10,10,7,3,10,2,5,5,8,8,4,3,4,2,2,4,2,4,4,4,4,4,3,3,2,1,1,1,2,2,1,1,3,1,2,3,2,2,3,3,2,2,2,2,1,2,5072
14,1117,	01,40018,4,1,	01,2,6,,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,"ATIENDE AL CLIENTE, SURTE LA MERCANCIA Y ACOMODA EL LOCAL.",41,PROPIETARIO DE NOVEDADES Y REGALOS,NOVEDADES Y REGALOS SIN NOMBRE,46,COMPRA VENTA DE DIVERSOS ARTICULOS PARA REGALAR,2,2,3,4,4,4,3,4,4,2,2,2,2,2,2,1,2,,2,2,2,2,2,2,1,2,,2,2,2,2,2,2,1,2,,,,,,,,,2,2,4,4,4,4,4,4,1,2,3,4,5,6,,,,14,7,,7,,14,14,,,,,,,,,,,,,,,,1,1,,,1,1,21,2,2,2,1,2,1,2,1,1,1,2,2,1,2,1,1,2,,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,2,2,2,2,1,2,2,2,,5,2,1,1,1,5,10,8,5,10,10,10,10,10,10,10,3,5,8,10,2,2,4,4,2,5,4,2,2,5,4,2,2,5,2,5,5,5,5,5,5,4,3,3,2,3,3,3,3,3,3,3,3,2,3,3,5072
14,1117,	01,40018,2,1,	01,2,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,"ATIENDE A LOS CLIENTES, COBRA Y ACOMODA EL LOCAL",41,PROPIETARIA DE TIENDA DE ABARROTES,ABARROTES CHARLY,46,COMPRA VENTA DE ABARROTES,2,2,3,1,1,2,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,4,3,4,4,3,3,3,2,,,,,,,,1,,15,,,15,,,,,,,7,21,,21,,,,,,,,,2,,,,1,1,7,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,,1,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,2,2,2,1,2,2,2,2,,1,1,1,1,10,1,10,7,4,10,8,6,1,9,10,9,1,10,10,10,2,2,4,2,1,1,2,3,4,4,4,1,2,1,2,3,2,1,3,3,1,2,2,3,1,2,2,3,3,3,3,3,3,2,3,3,7608
14,1117,	01,40018,1,1,	03,4,3,,,,,,,,,,,1,,18,2,,,,,,2,2,2,2,1,1,,6,"ATIENDE AL CLIENTE, ACOMODAR MERCANCIA Y COBRAR",42,AYUDANTE DE TIENDA DE ABARROTES,TIENDA DE ABARROTES MUÑOZ,46,COMPRA VENTA DE ABARROTES AL PUBLICO EN GENERAL,2,2,4,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,2,1,4,4,3,2,3,3,3,3,6,5,3,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,1,15,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,2,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,2,2,2,2,2,2,2,,1,5,1,7,8,7,8,7,7,8,8,8,7,7,9,9,7,8,9,9,4,4,4,2,2,2,4,2,4,4,4,2,2,2,2,2,2,2,3,3,4,3,3,3,3,3,3,2,2,3,3,3,2,2,3,3,10144
14,1117,	01,40018,5,1,	02,3,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,"PREPARAR ALIMENTOS, LAVAR Y PICAR VERDURAS Y LIMPEZA EN GENERAL",51,COCINERA,CENADURIA EL CARRETERO,72,PREPARAR Y SERVIR ALIMENTOS PARA CONSUMO EN UN LOCAL,2,2,2,4,3,3,3,3,3,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,2,1,3,3,3,3,3,3,3,3,1,3,6,5,2,4,,,,21,7,,7,7,21,7,,14,,,,,,,,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,1,2,7,8,7,7,8,8,8,9,8,9,8,10,8,9,9,9,10,3,3,4,3,2,1,2,3,1,3,3,2,2,2,3,5,5,2,2,2,1,1,3,3,1,1,3,3,3,3,3,3,3,1,3,3,5072
14,1117,	01,40034,3,1,	02,7,4,5335,ADMINISTRACION DE EMPRESAS,3,1,1,2,2,2,2,2,1,,23,2,,,,,,2,1,1,2,2,2,,1,"LLEVAR LA NOMINA DE LOS EMPLEADOS, LLEVAR TODO EL CONTROL DE LOS UNIFORMES DE LOS EMPLEADOS Y REALIZ",25,AUXILIAR DE RECURSOS HUMANOS,PRESTADORAS DE SERVICIOS COTSCO SA DE CV,46,TIENDA DE AUTOSERVICIO,2,2,2,2,4,3,3,2,3,,,,,,,,,,2,2,2,2,1,2,2,2,,,,,,,,,,,1,1,1,1,1,1,1,2,2,3,4,3,3,2,3,1,2,6,3,5,4,,,,14,7,,7,,21,14,,7,,3,15,2,8,4,1,,,,,,,1,1,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,,1,2,2,2,2,2,1,2,1,1,,,,,,,,,,,,2,2,2,2,1,2,2,2,,1,3,3,8,9,9,8,8,9,9,9,10,9,8,10,10,8,8,9,9,2,2,3,1,2,1,1,2,1,2,3,2,2,2,2,2,2,2,2,3,1,2,3,2,2,2,1,1,2,2,2,2,2,1,2,2,4792
14,1117,	01,40034,4,1,	01,2,2,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,4,4,4,4,4,3,4,4,2,2,1,2,2,2,2,2,,2,2,1,2,2,2,2,2,,2,2,2,2,2,2,1,2,,,,,,,,,3,4,4,4,4,3,4,4,,,,,,,1,,,7,5,,2,,7,5,,2,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,2,1,2,2,2,2,2,,5,3,2,7,9,5,5,5,5,6,5,6,4,8,8,8,4,9,6,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,3,3,3,2,2,2,2,2,2,3,2,2,3,3,9584
14,1117,	01,40034,2,1,	01,3,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,LLEVAR EL CONTROL DE TRAMITES DE UN ARQUITECTO,26,AUXIKLAR DE ARQUITECTO,ARQUITECTO SIN NOMBRE,23,CONSTRUCCION Y ARRENDAMKIENTO DE DE CASAS,2,4,3,4,4,4,3,3,4,2,2,1,2,2,2,2,2,,1,2,2,2,2,2,2,2,,2,2,2,1,2,2,2,2,,,,,,,,,3,3,4,4,4,3,3,4,6,2,3,4,1,5,,,,12,2,,10,,,,,,,7,88,,28,60,,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,2,2,2,2,2,2,2,,1,2,2,1,9,1,5,8,1,9,9,9,10,8,10,10,8,10,10,10,2,2,4,3,2,2,2,2,1,2,3,2,2,2,2,5,2,2,2,3,2,2,3,3,1,2,2,2,2,2,2,2,3,2,2,3,4792
14,1117,	01,40034,5,1,	03,7,5,5512,INEGENIERIA INDUSTRIAL ELECTRICA,3,1,1,2,1,1,2,2,1,,25,2,,,,,,1,1,1,1,1,1,,1,DAR CLASES FRENTE A GRUPO A NIVEL DE PREPARATORIA.,23,PREPARATORIA SANTA FE,PREPARATORIA SANTA FE,61,DAR CLASES A ALUMNOS DE NIVEL PREPARATORIA,2,2,2,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,6,3,4,2,5,1,,,,16,3,3,7,3,16,3,3,7,3,1,10,2,3,2,3,,,,,,,1,1,,,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,,1,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,,,,,,,,,,,3,3,3,8,8,8,8,9,8,9,9,10,8,10,10,10,9,10,10,10,2,2,3,3,1,2,5,2,2,2,3,2,2,1,1,1,1,1,1,3,3,1,1,1,1,2,1,1,3,2,2,2,1,2,1,1,9584
14,1117,	01,40034,1,1,	03,4,1,,,,,,,,,,,2,,18,1,2,2,2,2,2,,,,,,1,,1,DOBLAR COLCHAS Y CORTINAS Y LA ACOMODA,92,AYUDANTE DE MAQUILADORA DE COLCHAS,MAQUILADORA DE COLCHAS Y CORTINAS SIN NOMBRE,31,REALIZAR COLCHAS Y CORTINAS CON MAQUINA,2,3,3,2,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,5,4,3,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,9,,1,1,56,2,1,1,2,1,1,2,1,1,2,2,2,1,2,1,1,2,,1,1,2,2,2,2,1,2,2,1,,,,,,,,,,,,2,2,2,2,1,2,2,2,,1,1,1,8,9,8,9,8,8,8,8,7,9,8,9,8,7,10,8,9,2,2,4,4,2,3,2,3,3,3,4,3,3,3,3,2,2,2,3,3,3,2,2,1,3,3,3,3,3,3,2,1,2,3,2,2,7188
14,1117,	01,40035,4,1,	02,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,4,4,4,4,4,4,4,4,2,2,2,2,1,2,2,2,,2,2,2,2,1,2,2,2,,2,2,2,2,1,2,2,2,,,,,,,,,4,4,4,4,4,4,4,4,,,,,,,,,1,3,,,3,,,,,,,,,,,,,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,2,2,2,1,2,2,2,,5,5,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6724
