CD_A,PER,ENT,CON,V_SEL,N_HOG,N_REN,S4P18_1,S4P18_2,S4P18_3,S4P18_4,S4P18_5,S4P18_6,S4P18_7,S4P18_8,S4P18_9,S4P18_10,S4P18_11,S4P18_12,S4P18_13,S4P18_14,S4P18_15,S4P18_16,S4P18_17,S4P18_18,S4P18_19,S4P18_20,S4P19,S4P20,S4P21_1,S4P21_2,S4P21_3,S4P21_4,S4P21_5,S4P21_6,S4P21_7,S4P22_1,S4P22_2,S4P22_3,S4P22_4,S4P22_5,S4P22_6,S4P22_7,S4P22_8,S4P22_9,S4P22_10,S4P22_11,S4P22_12,S4P23_1,S4P23_2,S4P23_3,S4P23_4,S4P23_5,S4P23_6,S4P23_7,S4P23_8,S4P23_9,S4P23_10,S4P24_1,S4P24_2,S4P24_3,S4P24_4,S4P24_5,S4P24_6,S4P25_1,S4P25_2,S4P25_3,S4P25_4,S4P25_5,S4P25_6,S4P25_7,S4P25_8,S4P25_9,S4P25_10,S4P25_11,S4P25_12,S4P26_1,S4P26_2,S4P26_3,S4P26_4,S4P26_5,S4P27_1,S4P27_2,S4P27_3,S4P27_4,S4P27_5,S4P27_6,S4P27_7,S4P27_8,S4P27_9,S4P28_1,S4P28_2,S4P28_3,S4P28_4,S4P28_5,S4P28_6,S4P28_7,S4P28_8,S4P28_9,S4P29_1,S4P29_2,S4P30,S4P30_1,S4P30_2,S4P31,S4P31_1_1,S4P31_1_2,S4P31_1_3,S4P31_1_4,S4P31_1_5,S4P31_1_6,S4P31_1_7,S4P32,S4P32_1,S4P33,S5P1,S5P1_1,S5P2_1,S5P2_2,S5P2_3,S5P2_4,S5P2_5,S5P2_6,S5P2_ES,S5P3,S5P4_1,S5P4_2,S5P4_3,S5P4_4,S5P4_5,S5P4_6,S5P4_7,S5P4_8,S5P4_9,S5P4_10,S5P4_11,S5P4_12,S5P4_ES,S5P5,S5P6_1,S5P6_2,S5P6_3,S5P6_4,S5P6_5,S5P6_6,S5P6_7,S5P6_8,S5P6_9,S5P6_10,S5P6_11,S5P6_12,S5P6_13,S5P6_14,S5P7,S5P8,S5P9,S5P10_1,S5P10_2,S5P10_3,S5P10_4,S5P10_5,S5P10_6,S5P11_D1,S5P11_D2,S5P11_D3,S5P12_1,S5P12_2,S5P12_3,S5P12_4,S5P12_5,S5P12_6,S5P12_ESP,S5P13_1,S5P13_2,S5P13_3,S5P13_4,S5P13_5,S5P13_6,S5P13_7,S5P13_8,S5P13_9,S5P13_10,S5P13_11,S5P13_12,S5P13_13,S5P13_14,S5P13_15,S5P13_16,S5P13_17,S5P13_18,S5P13_19,S5P13_20,S5P13_21,S5P13_22,S5P13_23,S5P13_24,S5P13_25,S5P13_26,S5P13_27,OBS,FAC,ID
14,1117,1,40018,3,1,1,1,1,3,1,1,2,1,2,1,1,1,1,3,3,2,2,3,1,1,1,2,2,5,1,3,1,2,1,1,2,3,3,3,2,2,3,3,3,3,3,2,2,2,2,2,2,3,3,2,2,3,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,2,3,2,2,3,2,2,2,2,3,3,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,3,2,5,3,2,2,NA,5,2,1,1,2,2,2,2,2,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,5072,14_1117_1_40018_3_1_1
14,1117,1,40018,4,1,1,1,1,1,3,1,3,1,3,1,3,1,1,1,1,1,1,1,1,1,1,5,2,4,3,3,3,4,3,3,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,3,1,1,1,1,2,1,1,1,3,1,2,NA,NA,3,2,2,2,3,2,3,3,2,NA,1,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,5072,14_1117_1_40018_4_1_1
14,1117,1,40018,2,1,1,1,1,1,1,1,3,1,1,3,1,1,2,1,3,1,3,3,1,1,1,1,1,6,1,6,1,1,1,4,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,5,2,1,4,2,1,2,1,2,1,4,2,2,2,2,1,1,4,1,1,1,1,1,2,2,2,NA,NA,3,2,2,2,2,2,2,2,1,3,3,2,1,1,2,2,2,2,2,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,7608,14_1117_1_40018_2_1_1
14,1117,1,40018,1,1,3,1,2,2,1,3,3,1,3,3,2,1,1,1,3,1,1,2,2,1,1,3,2,5,1,4,1,1,1,1,1,2,2,2,2,2,3,3,3,2,4,2,2,3,2,2,2,3,3,2,2,2,3,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,4,1,1,2,1,2,2,2,3,3,3,2,2,2,NA,3,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,10144,14_1117_1_40018_1_1_3
14,1117,1,40018,5,1,2,1,2,1,2,1,2,1,2,3,1,1,2,1,1,2,1,1,1,2,1,3,3,5,3,3,2,1,1,3,1,1,2,2,1,3,5,2,5,5,2,5,1,2,2,5,5,3,5,2,2,5,5,5,2,3,1,1,2,1,2,5,2,2,2,5,3,4,2,5,2,2,2,4,5,1,2,2,2,2,2,3,5,5,2,2,1,4,4,1,1,4,1,3,1,2,NA,NA,4,3,5,2,5,2,4,2,2,NA,3,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,5072,14_1117_1_40018_5_1_2
14,1117,1,40034,3,1,2,1,2,1,1,3,1,1,1,3,1,1,2,1,1,2,1,2,1,1,1,3,1,5,3,5,1,1,1,2,1,2,2,2,2,3,3,1,2,2,3,2,1,3,1,1,1,2,2,2,1,1,4,3,2,4,3,1,2,2,2,3,2,1,1,3,2,3,2,1,2,2,4,3,2,1,1,1,2,2,2,3,3,2,1,1,2,2,1,2,1,2,2,1,3,1,2,1,3,2,2,2,3,2,2,2,2,NA,3,1,NA,1,1,2,2,2,2,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,4792,14_1117_1_40034_3_1_2
14,1117,1,40034,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,3,3,3,2,2,3,3,2,3,3,3,3,3,2,5,5,2,2,2,2,5,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,3,2,3,2,2,5,2,3,2,2,2,2,2,2,2,2,3,5,5,1,1,1,1,1,1,1,1,1,3,3,2,NA,NA,6,2,2,3,5,2,2,2,2,NA,2,2,1,1,2,2,2,2,2,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,9584,14_1117_1_40034_4_1_1
14,1117,1,40034,2,1,1,1,1,1,2,3,3,1,1,2,1,1,3,1,1,2,1,3,1,1,1,3,3,5,2,3,1,1,1,2,2,1,2,2,2,2,2,3,3,3,3,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,3,2,3,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,3,3,1,1,1,3,2,2,3,2,2,3,2,2,NA,3,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,4792,14_1117_1_40034_2_1_1
14,1117,1,40034,5,1,3,1,2,1,3,1,1,1,2,2,2,1,2,1,1,1,1,2,2,3,1,3,2,4,3,5,2,3,3,5,1,1,1,1,1,1,1,1,3,2,3,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,3,3,3,2,NA,2,1,NA,1,1,1,1,1,1,INEGI,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,1,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,NA,9584,14_1117_1_40034_5_1_3
14,1117,1,40034,1,1,3,1,1,1,2,2,2,1,1,2,1,1,1,1,1,2,2,2,2,1,3,5,4,4,1,4,1,1,4,1,2,2,1,1,2,2,2,3,3,3,2,2,5,3,2,2,2,2,3,2,2,3,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,1,3,1,1,1,1,1,3,1,1,2,1,3,2,1,2,1,1,3,2,2,NA,3,2,1,2,2,2,2,1,2,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,7188,14_1117_1_40034_1_1_3
