CD_A,PER,ENT,CON,V_SEL,N_HOG,N_REN,EST_DIS,UPM_DIS,PAR,SEX,EDA,NAC_DIA,NAC_MES,NAC_ANIO,NIV,GRA,A_ESC,ELEGIDO,REELE,R_DEF,FACTOR,FAC18
13,1117,12,40098,4,1,"	03","	032","	00218",3,2,11,8,12,2005,2,6,,,,"	01",2130,
13,1117,12,40098,4,1,"	04","	032","	00218",3,1,8,5,1,2009,2,2,,,,"	01",2130,
13,1117,12,40098,4,1,"	05","	032","	00218",3,2,6,11,7,2011,1,3,,,,"	01",2130,
13,1117,12,40098,5,1,"	01","	032","	00218",1,2,24,15,12,1992,7,5,3,1,,"	01",2130,2130
13,1117,12,40113,5,1,"	01","	032","	00219",1,1,35,29,11,1982,3,3,,,,"	01",2309,
13,1117,12,40113,3,1,"	01","	032","	00219",1,1,31,28,4,1986,3,3,,,,"	01",2309,
13,1117,12,40113,3,1,"	03","	032","	00219",4,1,7,24,11,2009,2,2,,,,"	01",2309,
13,1117,12,40113,3,1,"	02","	032","	00219",4,2,18,1,3,1999,4,3,,1,,"	01",2309,4618
13,1117,12,40113,5,1,"	02","	032","	00219",2,2,49,28,8,1968,4,1,,1,,"	01",2309,4618
13,1117,12,40113,1,1,"	01","	032","	00219",1,1,76,29,3,1941,,,,,,"	01",2309,
13,1117,12,40113,1,1,"	02","	032","	00219",2,2,71,16,2,1946,,,,1,,"	01",2309,4618
13,1117,12,40113,2,1,"	01","	032","	00219",1,1,55,30,10,1962,2,2,,1,,"	01",2309,6927
13,1117,12,40113,2,1,"	02","	032","	00219",2,2,44,14,11,1973,2,3,,,,"	01",2309,
13,1117,12,40113,2,1,"	03","	032","	00219",3,2,22,31,10,1995,3,1,,,,"	01",2309,
13,1117,12,40113,2,1,"	04","	032","	00219",4,1,16,16,1,2001,3,3,,,,"	01",2309,
13,1117,12,40113,2,1,"	05","	032","	00219",4,2,7,13,4,2010,2,1,,,,"	01",2309,
13,1117,12,40113,2,1,"	06","	032","	00219",4,1,3,14,11,2014,,,,,,"	01",2309,
13,1117,12,40113,4,1,"	01","	032","	00219",1,1,62,22,3,1955,7,6,3,1,,"	01",2309,2309
13,1117,12,40130,4,1,"	03","	032","	00220",4,2,20,21,10,1997,7,1,3,,,"	01",2242,
13,1117,12,40130,3,1,"	01","	032","	00220",1,2,53,20,11,1963,2,6,,1,,"	01",2242,4484
13,1117,12,40130,4,1,"	02","	032","	00220",3,1,20,18,1,1997,4,3,,,,"	01",2242,
13,1117,12,40130,4,1,"	01","	032","	00220",1,2,51,25,7,1966,3,3,,1,,"	01",2242,6726
13,1117,12,40130,2,1,"	05","	032","	00220",3,2,7,8,2,2010,2,1,,,,"	01",2242,
13,1117,12,40130,2,1,"	04","	032","	00220",3,1,10,10,8,2007,2,4,,,,"	01",2242,
13,1117,12,40130,2,1,"	03","	032","	00220",3,2,21,7,1,1996,7,3,3,,,"	01",2242,
13,1117,12,40130,2,1,"	02","	032","	00220",3,2,23,23,8,1994,7,5,3,,,"	01",2242,
13,1117,12,40130,2,1,"	01","	032","	00220",1,2,45,24,2,1972,3,3,,1,,"	01",2242,6726
13,1117,12,40130,1,1,"	02","	032","	00220",2,1,34,12,1,1983,3,3,,1,,"	01",2242,6726
13,1117,12,40130,1,1,"	01","	032","	00220",1,2,35,18,7,1982,4,3,,,,"	01",2242,
13,1117,12,40130,3,1,"	02","	032","	00220",4,1,19,15,2,1998,4,3,,,,"	01",2242,
13,1117,12,40130,5,1,"	01","	032","	00220",1,1,72,18,11,1945,,,,1,,"	01",2242,4484
13,1117,12,40130,5,1,"	02","	032","	00220",3,1,36,18,11,1981,3,3,,,,"	01",2242,
13,1117,12,40130,1,1,"	03","	032","	00220",3,2,18,10,8,1999,4,1,,,,"	01",2242,
13,1117,12,40130,4,1,"	04","	032","	00220",3,1,17,21,8,2000,4,2,,,,"	01",2242,
13,1117,12,40158,5,1,"	01","	033","	00221",1,1,36,22,10,1981,4,3,,,,"	01",2752,
13,1117,12,40158,4,1,"	03","	033","	00221",3,2,8,23,12,2008,2,3,,,,"	01",2752,
13,1117,12,40158,4,1,"	02","	033","	00221",2,2,34,22,11,1982,3,3,,1,,"	01",2752,5504
13,1117,12,40158,4,1,"	01","	033","	00221",1,1,42,18,10,1975,3,3,,,,"	01",2752,
13,1117,12,40158,2,1,"	05","	033","	00221",4,2,72,8,11,1945,2,2,,,1,"	01",2752,
13,1117,12,40158,2,1,"	04","	033","	00221",3,1,28,18,10,1989,7,5,3,1,,"	01",2752,13760
13,1117,12,40158,2,1,"	03","	033","	00221",4,2,28,3,1,1989,7,5,3,,,"	01",2752,
13,1117,12,40158,2,1,"	02","	033","	00221",2,2,50,18,4,1967,4,3,,,,"	01",2752,
13,1117,12,40158,2,1,"	01","	033","	00221",1,1,61,13,10,1956,4,3,,,,"	01",2752,
13,1117,12,40158,3,1,"	03","	033","	00221",3,2,12,5,7,2005,2,6,,,,"	01",2752,
13,1117,12,40158,3,1,"	02","	033","	00221",4,1,72,4,12,1944,2,6,,,,"	01",2752,
13,1117,12,40158,3,1,"	01","	033","	00221",1,2,45,25,12,1971,9,3,4,1,,"	01",2752,5504
13,1117,12,40158,5,1,"	06","	033","	00221",3,2,6,9,5,2011,1,3,,,,"	01",2752,
13,1117,12,40158,5,1,"	05","	033","	00221",3,2,10,23,7,2007,2,4,,,,"	01",2752,
13,1117,12,40158,5,1,"	04","	033","	00221",3,1,16,19,9,2001,4,1,,,,"	01",2752,
13,1117,12,40158,5,1,"	02","	033","	00221",2,2,40,30,1,1977,7,5,3,1,,"	01",2752,5504
13,1117,12,40158,5,1,"	03","	033","	00221",3,1,14,20,1,2003,3,2,,,,"	01",2752,
13,1117,12,40198,4,1,"	01","	031","	00222",1,1,70,18,11,1947,5,1,2,,,"	01",3541,
13,1117,12,40198,1,1,"	02","	031","	00222",3,1,23,25,8,1994,4,3,,,,"	01",3541,
13,1117,12,40198,5,1,"	01","	031","	00222",1,1,19,5,11,1998,3,1,,1,,"	01",3541,3541
13,1117,12,40198,5,1,"	02","	031","	00222",2,2,17,4,3,2000,3,3,,,,"	01",3541,
13,1117,12,40198,5,1,"	03","	031","	00222",3,2,,15,11,2017,,,,,,"	01",3541,
13,1117,12,40198,2,1,"	01","	031","	00222",1,2,34,9,11,1983,7,5,3,,,"	01",3541,
13,1117,12,40198,2,1,"	02","	031","	00222",2,1,41,15,2,1976,7,5,3,1,,"	01",3541,10623
13,1117,12,40198,2,1,"	03","	031","	00222",4,2,56,16,11,1961,,,,,,"	01",3541,
13,1117,12,40198,2,1,"	04","	031","	00222",3,1,9,19,10,2008,2,3,,,,"	01",3541,
13,1117,12,40198,3,1,"	01","	031","	00222",1,2,41,1,5,1976,2,6,,1,,"	01",3541,7082
13,1117,12,40198,3,1,"	02","	031","	00222",2,1,46,11,8,1971,3,3,,,,"	01",3541,
13,1117,12,40198,3,1,"	03","	031","	00222",3,1,13,14,8,2004,3,1,,,,"	01",3541,
13,1117,12,40198,3,1,"	04","	031","	00222",3,1,11,14,8,2006,2,4,,,,"	01",3541,
13,1117,12,40198,1,1,"	01","	031","	00222",1,2,51,9,11,1966,2,5,,1,,"	01",3541,7082
