CD_A,PER,ENT,CON,V_SEL,N_HOG,N_REN,EST_DIS,UPM_DIS,PAR,SEX,EDA,NAC_DIA,NAC_MES,NAC_ANIO,NIV,GRA,A_ESC,ELEGIDO,REELE,R_DEF,FACTOR,FAC18
36,1117,22,40132,3,1,"	02","	080","	00429",2,2,23,12,2,1994,3,3,,1,,"	01",2271,4542
36,1117,22,40132,3,1,"	01","	080","	00429",1,1,24,13,10,1993,2,6,,,1,"	01",2271,
36,1117,22,40132,2,1,"	04","	080","	00429",3,2,9,28,12,2007,2,2,,,,"	01",2271,
36,1117,22,40132,2,1,"	03","	080","	00429",3,2,16,27,8,2001,3,2,,,,"	01",2271,
36,1117,22,40132,2,1,"	02","	080","	00429",2,2,36,10,6,1981,3,3,,1,,"	01",2271,4542
36,1117,22,40132,2,1,"	01","	080","	00429",1,1,36,3,11,1981,2,6,,,,"	01",2271,
36,1117,22,40132,5,1,"	03","	080","	00429",3,2,23,14,2,1994,7,5,3,,,"	01",2271,
36,1117,22,40132,4,1,"	03","	080","	00429",3,2,14,2,12,2002,3,2,,,,"	01",2271,
36,1117,22,40132,5,1,"	01","	080","	00429",1,2,55,23,8,1962,6,2,2,1,,"	01",2271,6813
36,1117,22,40132,1,1,"	04","	080","	00429",3,1,2,16,5,2015,,,,,,"	01",2271,
36,1117,22,40132,1,1,"	03","	080","	00429",3,1,7,22,9,2010,2,1,,,,"	01",2271,
36,1117,22,40132,1,1,"	02","	080","	00429",2,2,24,26,10,1993,3,3,,1,,"	01",2271,4542
36,1117,22,40132,1,1,"	01","	080","	00429",1,1,26,17,2,1991,2,6,,,,"	01",2271,
36,1117,22,40132,5,1,"	02","	080","	00429",3,1,26,17,4,1991,6,2,3,,,"	01",2271,
36,1117,22,40148,5,1,"	04","	080","	00430",4,1,27,25,4,1990,3,3,,,,"	01",2981,
36,1117,22,40148,5,1,"	05","	080","	00430",3,2,23,20,3,1994,4,3,,1,,"	01",2981,17886
36,1117,22,40148,5,1,"	06","	080","	00430",3,2,22,9,5,1995,3,3,,,,"	01",2981,
36,1117,22,40148,2,1,"	01","	080","	00430",1,1,80,12,12,1936,,,,,1,"	01",2981,
36,1117,22,40148,2,1,"	02","	080","	00430",2,2,74,29,3,1943,,,,1,,"	01",2981,5962
36,1117,22,40148,3,1,"	01","	080","	00430",1,1,23,31,8,1994,3,3,,,,"	01",2981,
36,1117,22,40148,3,1,"	02","	080","	00430",2,2,20,30,12,1996,3,3,,1,,"	01",2981,5962
36,1117,22,40148,3,1,"	03","	080","	00430",3,1,5,27,9,2012,1,2,,,,"	01",2981,
36,1117,22,40148,3,1,"	04","	080","	00430",3,2,,18,8,2017,,,,,,"	01",2981,
36,1117,22,40148,4,1,"	01","	080","	00430",1,1,81,26,4,1936,,,,,,"	01",2981,
36,1117,22,40148,4,1,"	02","	080","	00430",3,1,40,6,2,1977,3,3,,1,,"	01",2981,11924
36,1117,22,40148,1,1,"	01","	080","	00430",1,1,44,9,9,1973,7,4,3,,,"	01",2981,
36,1117,22,40148,1,1,"	02","	080","	00430",2,2,45,28,10,1972,2,6,,,,"	01",2981,
36,1117,22,40148,1,1,"	03","	080","	00430",3,1,26,8,4,1991,7,4,3,1,,"	01",2981,14905
36,1117,22,40148,1,1,"	04","	080","	00430",3,2,22,23,1,1995,7,3,3,,,"	01",2981,
36,1117,22,40148,1,1,"	05","	080","	00430",3,2,18,3,2,1999,4,3,,,,"	01",2981,
36,1117,22,40148,4,1,"	03","	080","	00430",3,2,48,15,8,1969,2,6,,,,"	01",2981,
36,1117,22,40148,4,1,"	04","	080","	00430",3,2,39,15,10,1978,3,3,,,,"	01",2981,
36,1117,22,40148,5,1,"	01","	080","	00430",1,1,49,14,5,1968,3,3,,,,"	01",2981,
36,1117,22,40148,5,1,"	02","	080","	00430",7,2,46,12,4,1971,3,3,,,,"	01",2981,
36,1117,22,40148,5,1,"	03","	080","	00430",7,2,24,20,6,1993,4,3,,,,"	01",2981,
36,1117,22,40182,2,1,"	02","	081","	00431",3,1,19,15,2,1998,4,1,,1,,"	01",2849,5698
36,1117,22,40182,4,1,"	02","	081","	00431",3,1,15,8,7,2002,3,3,,,,"	01",2849,
36,1117,22,40182,2,1,"	04","	081","	00431",3,1,8,9,11,2009,2,2,,,,"	01",2849,
36,1117,22,40182,5,1,"	01","	081","	00431",1,2,44,27,2,1973,9,2,4,,,"	01",2849,
36,1117,22,40182,5,1,"	02","	081","	00431",2,1,45,15,3,1972,4,3,,1,,"	01",2849,11396
36,1117,22,40182,5,1,"	03","	081","	00431",6,1,21,27,5,1996,7,3,3,,,"	01",2849,
36,1117,22,40182,5,1,"	04","	081","	00431",6,1,21,17,7,1996,7,3,3,,,"	01",2849,
36,1117,22,40182,1,1,"	01","	081","	00431",1,1,65,18,6,1952,4,3,,,,"	01",2849,
36,1117,22,40182,1,1,"	02","	081","	00431",2,2,59,7,5,1958,3,3,,1,,"	01",2849,11396
36,1117,22,40182,1,1,"	03","	081","	00431",3,2,34,11,12,1982,4,3,,,,"	01",2849,
36,1117,22,40182,1,1,"	04","	081","	00431",3,1,21,16,6,1996,3,3,,,,"	01",2849,
36,1117,22,40182,1,1,"	05","	081","	00431",4,1,17,20,9,2000,4,1,,,,"	01",2849,
36,1117,22,40182,1,1,"	06","	081","	00431",4,1,9,18,6,2008,2,3,,,,"	01",2849,
36,1117,22,40182,1,1,"	07","	081","	00431",4,2,8,22,7,2009,2,2,,,,"	01",2849,
36,1117,22,40182,2,1,"	01","	081","	00431",1,2,36,8,12,1980,4,3,,,,"	01",2849,
36,1117,22,40182,3,1,"	01","	081","	00431",1,1,49,2,3,1968,3,3,,,,"	01",2849,
36,1117,22,40182,3,1,"	02","	081","	00431",2,2,45,27,7,1972,2,6,,1,,"	01",2849,5698
36,1117,22,40182,3,1,"	03","	081","	00431",4,2,16,2,3,2001,3,3,,,,"	01",2849,
36,1117,22,40182,4,1,"	01","	081","	00431",1,2,49,26,3,1968,4,3,,1,,"	01",2849,2849
36,1117,22,40182,2,1,"	03","	081","	00431",3,2,15,17,5,2002,3,3,,,,"	01",2849,
